CGGTTS GPS DATA FORMAT VERSION = 01
REV DATE = 2004-02018
RECV = Freqtime remote calibration receiver  ver.1.25RTCXO
CH = 12
IMS = 2606825
LAB = ID0057
X = -1817480.29m
Y = +6073152.81m
Z = -701361.23m
FRAME = WGS-84
COMMENT = UTC(IDN)
INT DLY =        0.0 ns
CAB DLY =      399.0 ns
REF DLY =       60.0 ns
REF = EXTERNAL
CKSUM = AA

PRN CL  MJD  STTIME TRKL ELV AZTH   REFSV      SRSV     REFGPS    SRGPS  DSG IOE MDTR SMDT MDIO SMDI CK
             hhmmss  s  .1dg .1dg    .1ns     .1ps/s     .1ns    .1ps/s .1ns     .1ns.1ps/s.1ns.1ps/s  
 16 FF 60369 001400  780 614 3166    +3522746    +63      -17155    +20   68  79   91   +4  175  +19 2C
 21 FF 60369 001400  780 139 2314    -1332329    +36      -17202    +87  103  12  329  -26  391  +20 41
 32 FF 60369 001400  780 431  917    +6138997     +9      -17215    +65   99 121  117   +0  233  +15 26
  8 FF 60369 001400  780 256 2041     -184132   +348      -17179    +83  102  58  184  -42  292  -15 4A
 10 FF 60369 001400  780 278 1574      -10769   -149      -17160   -107  110  34  170  +39  298  +60 57
 26 FF 60369 001400  780 380 3595    -1851317    +32      -17212   +111  126  44  129  +19  245  +47 63
 31 FF 60369 001400  780 145  103    +2278848    -88      -17168    -49   82  82  315  +11  412  +37 3D
 27 FF 60369 001400  780 541 1706      +79785    +33      -17148   +101  130  87   99   -8  191   -2 1C
  3 FF 60369 001400  780 203 3090    -2224517   +253      -17189    +54  113  87  230  -53  359  -12 4F
 16 FF 60369 003000  780 555 3284    +3522646    +98      -17184    +70  108  79   97   +7  197  +26 53
 21 FF 60369 003000  780 151 2247    -1332290     -1      -17214    +66  130  12  302  -28  408  +15 21
 32 FF 60369 003000  780 419 1025    +6139058    -21      -17182    +53   80 121  119   +4  250  +20 29
  8 FF 60369 003000  780 320 2022     -184418   +230      -17162    -15   88  58  151  -28  276  -17 30
 10 FF 60369 003000  780 214 1554      -10811   +121      -17220   +181  167  34  217  +62  361  +69 38
 26 FF 60369 003000  780 316   35    -1851276    +38      -17196   +135  126  44  152  +27  295  +56 4D
 31 FF 60369 003000  780 142  169    +2278801     +1      -17253    +58  132  82  320   +0  445  +30 06
 27 FF 60369 003000  780 607 1624      +79819    -84      -17155     +4   72  87   91   -6  189   +0 F0
  3 FF 60369 003000  780 248 3029    -2224728   +211      -17186    +30   88  87  190  -31  348  -10 45
 16 FF 60369 004600  780 491 3371    +3522578    +95      -17153    +70   96  79  105  +10  226  +34 51
 21 FF 60369 004600  780 168 2180    -1332255    -33      -17182    +47   71  12  274  -29  420  +10 37
 32 FF 60369 004600  780 394 1125    +6139029    +29      -17185   +108  150 121  125   +8  273  +28 67
  8 FF 60369 004600  780 388 2008     -184709   +252      -17150    +15   78  58  127  -20  259  -17 46
 10 FF 60369 004600  780 154 1529      -10760   +121      -17163   +193  172  34  297 +111  432  +78 5E
 26 FF 60369 004600  780 257   75    -1851197    -62      -17198    +42   98  44  183  +39  355  +66 49
 31 FF 60369 004600  780 144  235    +2278831    +47      -17184   +110  127  82  316  -10  471  +23 4B
 27 FF 60369 004600  780 672 1507      +79844    -19      -17146    +74   86  87   87   -4  190   +2 0E
  3 FF 60369 004600  780 287 2957    -2224987   +218      -17205    +44  108  87  166  -19  340   -6 62
 16 FF 60369 010200  780 426 3440    +3522465    +92      -17187    +25   83  79  118  +14  263  +43 49
 21 FF 60369 010200  780 188 2114    -1332285    -96      -17173    -64  111  12  246  -28  427   +4 3F
 32 FF 60369 010200  780 357 1212    +6139024    +62      -17181    +96  113 121  136  +14  305  +37 50
 28 FF 60369 010200  780 109  559    +1471068    -86      -17062    +66   99  39  413  -31  561  +12 43
  8 FF 60369 010200  780 461 2002     -184964   +334      -17143    +52   87  58  111  -14  243  -14 2A
 26 FF 60369 010200  780 203  115    -1851149    -88      -17137    -30   88  44  228  +57  423  +75 3C
 31 FF 60369 010200  780 151  302    +2278892    -13      -17124     +2   75  82  303  -16  491  +16 11
 27 FF 60369 010200  780 727 1315      +79870    -85      -17124    -31   88  87   84   -1  194   +6 02
