CGGTTS GPS DATA FORMAT VERSION = 01
REV DATE = 2004-02018
RECV = Freqtime remote calibration receiver  ver.1.26TCXO
CH = 12
IMS = 2581475
LAB = ID0077
X = -1837358.52m
Y = +6069701.98m
Z = -679398.12m
FRAME = WGS-84
COMMENT = BMKG2
INT DLY =        0.0 ns
CAB DLY =      600.0 ns
REF DLY =        5.0 ns
REF = EXTERNAL
CKSUM = AA

PRN CL  MJD  STTIME TRKL ELV AZTH   REFSV      SRSV     REFGPS    SRGPS  DSG IOE MDTR SMDT MDIO SMDI CK
             hhmmss  s  .1dg .1dg    .1ns     .1ps/s     .1ns    .1ps/s .1ns     .1ns.1ps/s.1ns.1ps/s  
  8 FF 60369 001400  780 253 2042    +9802626   +173      -13200   -128  158  58  186  -43  295  -15 70
 21 FF 60369 001400  780 136 2314    +8654343   +172      -13363   +186  235  12  335  -28  394  +20 73
 16 FF 60369 001400  780 614 3159   +13509718    +93      -13016     +9   82  79   91   +4  175  +20 29
 27 FF 60369 001400  780 539 1709   +10066733    -39      -13033    -10  121  87   99   -8  192   -2 3B
 32 FF 60369 001400  780 433  919   +16125972    -22      -13046     -6   53 121  116   +1  233  +15 1E
 31 FF 60369 001400  780 147  102   +12265512    +72      -13336    +72  127  82  310  +10  411  +36 31
 26 FF 60369 001400  780 382 3593    +8135540     -7      -13187    +34   62  44  129  +19  245  +46 3E
  3 FF 60369 001400  780 202 3088    +7762147     +4      -13329   -231  275  87  230  -53  360  -12 40
 10 FF 60369 001400  780 277 1576    +9976003   +140      -13221   +147  153  34  171  +39  300  +60 6A
  8 FF 60369 003000  780 317 2022    +9802359   +284      -13203    -20  157  58  152  -29  279  -17 5D
 21 FF 60369 003000  780 149 2247    +8654338     -4      -13381     +9  215  12  308  -29  411  +15 2D
 16 FF 60369 003000  780 556 3279   +13509594   +102      -13058    +17   91  79   97   +7  198  +26 61
 27 FF 60369 003000  780 605 1630   +10066789   -145      -12981   -114  167  87   92   -6  190   +0 60
 32 FF 60369 003000  780 421 1028   +16125977    -59      -13058    -41   72 121  119   +4  250  +21 45
 31 FF 60369 003000  780 145  168   +12265484    -86      -13366    -85  184  82  315   +0  443  +30 47
 26 FF 60369 003000  780 319   33    +8135497    +40      -13244    +82  111  44  151  +27  295  +56 2C
  3 FF 60369 003000  780 247 3026    +7761994   +379      -13257   +145  146  87  190  -31  349   -9 74
 10 FF 60369 003000  780 212 1556    +9975972    +68      -13257    +74  116  34  219  +62  363  +69 6A
  8 FF 60369 004600  780 385 2009    +9802127   +149      -13146   -155  157  58  128  -20  261  -17 77
 21 FF 60369 004600  780 165 2180    +8654395    -93      -13338    -79  170  12  279  -30  424  +10 62
 16 FF 60369 004600  780 492 3367   +13509462   +159      -13108    +75   86  79  105  +10  226  +34 76
 27 FF 60369 004600  780 671 1515   +10066873   -116      -12952    -85  101  87   87   -4  191   +2 52
 32 FF 60369 004600  780 395 1128   +16125945     -1      -13106    +16   73 121  125   +8  274  +28 3E
