CGGTTS  GENERIC DATA FORMAT VERSION = 2E
REV DATE = 2021-08-06
RCVR = ZED-F9T  ubx_s2 Ver. 2024-01-22
CH = 184
IMS = 99999
LAB = BBPPT
X = -1841427.00 m
Y =  6065411.00 m
Z =  -706844.00 m
FRAME = ITRF
COMMENTS =  Ext 1PPS OK
INT DLY =    0.0 ns
CAB DLY =  400.0 ns
REF DLY =    0.0 ns
REF = EXTERNAL
CKSUM = 32
SAT CL  MJD  STTIME TRKL ELV AZTH   REFSV      SRSV     REFSYS    SRSYS  DSG IOE MDTR SMDT MDIO SMDI FR HC FRC CK     TM2      STM2   MSEC    CLKB rcvTow   VLOS   ResPR      SRPR 
             hhmmss  s  .1dg .1dg    .1ns     .1ps/s     .1ns    .1ps/s .1ns     .1ns.1ps/s.1ns.1ps/s                .1ns     .1ps/s   AMB      ns   msec  .1m/s    .1ns     .1ps/s
G03 FF 60377 001400  780 283 2956 +2147483647   -192 +2147483647    +41   32  12  164  -19  242   +1  0  0 L1C CD -4375139403   +394    -7 +387383    993  16867        +104   -441
G08 FF 60377 001400  780 394 2009 +2147483647    -86 +2147483647   +188   44  48  123  -19  201   -8  0  0 L1C E3 -4375139403   +394    -7 +387383    993   5712          -4   -594
G10 FF 60377 001400  780 154 1529 +2147483647   -209 +2147483647   -246   33 185  289  +95  343  +69  0  0 L1C 21 -4375139403   +394    -7 +387383    993    609        +912   -144
G16 FF 60377 001400  780 488 3367 +2147483647   -273 +2147483647   -230   38  36  104  +11  181  +31  0  0 L1C F8 -4375139403   +394    -7 +387383    993  -3813        -673   -171
G21 FF 60377 001400  780 167 2181 +2147483647     +9 +2147483647    -20   28 103  268  -29  287  +18  0  0 L1C DB -4375139403   +394    -7 +387383    993   2902        +793   -386
G26 FF 60377 001400  780 253   77 +2147483647   -102 +2147483647   -172   24  43  182  +39  290  +60  0  0 L1C D2 -4375139403   +394    -7 +387383    993 -19519         +32   -226
G27 FF 60377 001400  780 677 1508 +2147483647   +130 +2147483647    +85   31  79   84   -4  151   +6  0  0 L1C BB -4375139403   +394    -7 +387383    993  22326        -825   -491
G32 FF 60377 001400  780 395 1131 +2147483647   -177 +2147483647   -213   37 104  123   +9  220  +27  0  0 L1C EC -4375139403   +394    -7 +387383    993  -2252        -119   -186
E04 FF 60377 001400  780 462   53 +2147483647    +91 +2147483647     +2   49 432  108  -11  193   -5  0  0 *E1 75 -4375139403   +394    -7 +387383    993  25387          +0     +0
